ds,model,n_estimators,n_rf,score,threshold,vote_pct
128,mnist_tiny,,,0.8078192349137931,0.0,1.0
128,mnist_tiny,,,0.8078192349137931,0.1,1.0
128,mnist_tiny,,,0.8318314056623856,0.2,0.949151400862069
128,mnist_tiny,10.0,10.0,0.7855266702586207,0.0,1.0
128,mnist_tiny,10.0,10.0,0.7855266702586207,0.1,1.0
128,mnist_tiny,10.0,10.0,0.8062026406934018,0.2,0.9576879040948276
128,mnist_tiny,10.0,10.0,0.9195813390837848,0.30000000000000004,0.6402545797413793
128,mnist_tiny,10.0,10.0,0.9725527201115943,0.4,0.4103919719827586
128,mnist_tiny,10.0,10.0,0.9924274003056829,0.5,0.2423558728448276
128,mnist_tiny,10.0,10.0,0.9968891769280622,0.6000000000000001,0.12989964978448276
128,mnist_tiny,10.0,10.0,0.9989824472144493,0.7000000000000001,0.06618736530172414
128,mnist_tiny,10.0,10.0,1.0,0.8,0.028572871767241378
128,mnist_tiny,10.0,10.0,1.0,0.9,0.00439453125
256,mnist_tiny,10.0,10.0,0.8248922413793104,0.0,1.0
256,mnist_tiny,10.0,10.0,0.8248922413793104,0.1,1.0
256,mnist_tiny,10.0,10.0,0.8363714605387726,0.2,0.9781620420258621
256,mnist_tiny,10.0,10.0,0.9189467556311853,0.30000000000000004,0.7519867995689655
256,mnist_tiny,10.0,10.0,0.9689932095128834,0.4,0.5430192618534483
256,mnist_tiny,10.0,10.0,0.9908058917346843,0.5,0.3589372306034483
256,mnist_tiny,10.0,10.0,0.9973154362416108,0.6000000000000001,0.21324420797413793
256,mnist_tiny,10.0,10.0,0.9987261146496815,0.7000000000000001,0.11895541487068965
256,mnist_tiny,10.0,10.0,0.999395039322444,0.8,0.0556640625
256,mnist_tiny,10.0,10.0,1.0,0.9,0.010439116379310345
512,mnist_tiny,10.0,10.0,0.8326710668103449,0.0,1.0
512,mnist_tiny,10.0,10.0,0.8326710668103449,0.1,1.0
512,mnist_tiny,10.0,10.0,0.84090598056658,0.2,0.9842403017241379
512,mnist_tiny,10.0,10.0,0.9097602416462148,0.30000000000000004,0.8026838631465517
512,mnist_tiny,10.0,10.0,0.9595724907063197,0.4,0.6159752155172413
512,mnist_tiny,10.0,10.0,0.9866595108487312,0.5,0.4392174030172414
512,mnist_tiny,10.0,10.0,0.9960772833723653,0.6000000000000001,0.28758081896551724
512,mnist_tiny,10.0,10.0,0.9984780747645772,0.7000000000000001,0.17701037176724138
512,mnist_tiny,10.0,10.0,0.9991398589368656,0.8,0.09787513469827586
512,mnist_tiny,10.0,10.0,1.0,0.9,0.0314520474137931
128,mnist_tiny,100.0,1.0,0.6837116109913793,0.0,1.0
128,mnist_tiny,100.0,1.0,0.6837116109913793,0.1,1.0
128,mnist_tiny,100.0,1.0,0.7012146032412755,0.2,0.9620487607758621
128,mnist_tiny,100.0,1.0,0.8293884599756197,0.30000000000000004,0.6629849137931034
128,mnist_tiny,100.0,1.0,0.9218779342723005,0.4,0.4482926993534483
128,mnist_tiny,100.0,1.0,0.9735773553816277,0.5,0.28611597521551724
128,mnist_tiny,100.0,1.0,0.9942227452658607,0.6000000000000001,0.15737809806034483
128,mnist_tiny,100.0,1.0,0.9985829003306566,0.7000000000000001,0.0712890625
128,mnist_tiny,100.0,1.0,0.9984802431610942,0.8,0.022157866379310345
128,mnist_tiny,100.0,1.0,1.0,0.9,0.0013638200431034483
256,mnist_tiny,100.0,1.0,0.7803744612068966,0.0,1.0
256,mnist_tiny,100.0,1.0,0.7803744612068966,0.1,1.0
256,mnist_tiny,100.0,1.0,0.7906304818904137,0.2,0.9790207435344828
256,mnist_tiny,100.0,1.0,0.8756691916387143,0.30000000000000004,0.7579640355603449
256,mnist_tiny,100.0,1.0,0.9371341925701289,0.4,0.5552094558189655
256,mnist_tiny,100.0,1.0,0.9763692579505301,0.5,0.3811961206896552
256,mnist_tiny,100.0,1.0,0.9940375982042648,0.6000000000000001,0.2400323275862069
256,mnist_tiny,100.0,1.0,0.9976107991876717,0.7000000000000001,0.1409449084051724
256,mnist_tiny,100.0,1.0,0.999057714958775,0.8,0.07147427262931035
256,mnist_tiny,100.0,1.0,1.0,0.9,0.02049097521551724
512,mnist_tiny,100.0,1.0,0.8215584590517241,0.0,1.0
512,mnist_tiny,100.0,1.0,0.8215584590517241,0.1,1.0
512,mnist_tiny,100.0,1.0,0.8300095778887596,0.2,0.984442349137931
512,mnist_tiny,100.0,1.0,0.9018659295093296,0.30000000000000004,0.8039971713362069
512,mnist_tiny,100.0,1.0,0.9519449546314318,0.4,0.6142073006465517
512,mnist_tiny,100.0,1.0,0.9820839407657485,0.5,0.4388806573275862
512,mnist_tiny,100.0,1.0,0.9938058368076236,0.6000000000000001,0.28269800646551724
512,mnist_tiny,100.0,1.0,0.997722321251733,0.7000000000000001,0.17002289870689655
512,mnist_tiny,100.0,1.0,0.9987099152230003,0.8,0.09135910560344827
512,mnist_tiny,100.0,1.0,1.0,0.9,0.028993803879310345
128,mnist_512,10.0,10.0,0.8264075969827587,0.0,1.0
128,mnist_512,10.0,10.0,0.8264075969827587,0.1,1.0
128,mnist_512,10.0,10.0,0.8512619022335493,0.2,0.9513402478448276
128,mnist_512,10.0,10.0,0.9528939585973807,0.30000000000000004,0.6376616379310345
