ds,model,n_estimators,n_rf,score,threshold,vote_pct
128,fashion_lf,10,10,0.6510136045258621,0.0,1.0
128,fashion_lf,10,10,0.6510136045258621,0.1,1.0
128,fashion_lf,10,10,0.6609747666781888,0.2,0.9742052801724138
128,fashion_lf,10,10,0.7742033537666548,0.30000000000000004,0.6647023168103449
128,fashion_lf,10,10,0.865126359379233,0.4,0.43505859375
128,fashion_lf,10,10,0.9249754916094804,0.5,0.29197535021551724
128,fashion_lf,10,10,0.9590706960704238,0.6000000000000001,0.18553003771551724
128,fashion_lf,10,10,0.9758231270876412,0.7000000000000001,0.10585600754310345
128,fashion_lf,10,10,0.9845045045045046,0.8,0.04672346443965517
128,fashion_lf,10,10,0.9958419958419958,0.9,0.008098733836206896
256,fashion_lf,10,10,0.691961880387931,0.0,1.0
256,fashion_lf,10,10,0.691961880387931,0.1,1.0
256,fashion_lf,10,10,0.6974464748397654,0.2,0.9877424568965517
256,fashion_lf,10,10,0.7733780472075326,0.30000000000000004,0.7832367995689655
256,fashion_lf,10,10,0.8500970531145227,0.4,0.5725013469827587
256,fashion_lf,10,10,0.9144544044130323,0.5,0.39069234913793105
256,fashion_lf,10,10,0.9555116814741691,0.6000000000000001,0.25584253771551724
256,fashion_lf,10,10,0.9782963113918891,0.7000000000000001,0.1652411099137931
256,fashion_lf,10,10,0.9888385071503314,0.8,0.09654498922413793
256,fashion_lf,10,10,0.9976819656930923,0.9,0.036318022629310345
512,fashion_lf,10,10,0.7057179418103449,0.0,1.0
512,fashion_lf,10,10,0.7057179418103449,0.1,1.0
512,fashion_lf,10,10,0.7097936567291022,0.2,0.9906047952586207
512,fashion_lf,10,10,0.7713029136888401,0.30000000000000004,0.8269295528017241
512,fashion_lf,10,10,0.8486945665743907,0.4,0.6203865840517241
512,fashion_lf,10,10,0.911632135146396,0.5,0.44452114762931033
512,fashion_lf,10,10,0.9501146163082633,0.6000000000000001,0.3084927262931034
512,fashion_lf,10,10,0.9672117875647669,0.7000000000000001,0.20797413793103448
512,fashion_lf,10,10,0.9801790281329923,0.8,0.1316675646551724
512,fashion_lf,10,10,0.9911686782455107,0.9,0.057196255387931036
